Id,woman
51407,
115296,59
121052,77
35546,79
96997,60
109920,63
170874,15
179307,71
207364,57
30786,
168298,52
185423,
181554,75
38106,50
137010,77
33420,
158628,48
95541,50
61482,
53372,
11089,56
155484,75
112042,65
148909,76
31629,
10245,
144945,78
172768,53
25749,
10106,50
38338,
132610,67
39369,62
97858,56
126078,62
162932,57
154298,20
87246,
37386,
39750,
39708,
39676,
131576,76
23917,
118348,56
31705,
81106,
123095,67
73318,
37244,
152265,73
84856,67
130376,61
77566,
109626,56
61056,
72058,88
137956,60
28792,
31904,
10962,47
19505,
64170,
39150,
52794,
32126,
125459,38
52757,
174805,80
87663,57
42867,
167049,67
23849,
125438,62
18003,61
34447,
145292,46
106540,48
24602,
88226,
60484,
73411,
17787,
31814,
164684,68
109984,30
10132,
202901,56
75415,
71546,
25641,
92312,50
39804,
54411,
52747,
10793,
74003,
185450,72
62789,
48742,
136873,64
64126,
91703,
33513,
16211,
101904,81
78240,67
19479,
163798,21
66728,36
114276,77
193800,48
10519,
50583,
123420,67
149236,37
29558,
62249,
25676,
88474,
132626,75
113635,
167053,88
18489,
19059,
37487,
44981,
18153,
67374,
124225,70
74315,
137281,80
41350,
100938,
49302,
39576,
135342,44
134887,42
93774,
33682,
34514,
50869,
17173,42
19302,
142634,
39818,
129094,72
38898,
11722,
59344,
17458,
171533,84
122527,38
31565,62
151674,58
88426,50
151747,31
40678,
51282,
161374,76
107928,32
86818,
152183,54
17150,
39473,
192614,45
88783,
167613,29
17062,50
63379,
66795,50
90388,
37758,
164719,68
52425,
47638,
48310,
38083,
182360,66
65677,
88253,
70393,
141824,51
114265,72
75006,24
193328,75
65842,
69270,
43516,70
103545,71
54565,
41595,
69951,50
40112,
189373,76
51579,
35175,
102216,66
171465,40
82540,
31867,
61865,
45253,
69024,50
39841,
37742,52
12954,
98728,
38378,
162471,60
184520,
43502,
30889,
31323,
17498,
79439,
100924,54
65290,
11290,73
50218,
149012,68
50176,
97692,65
51158,
50749,58
61701,
144330,42
38908,38
35900,
38197,
94506,
152632,71
156477,78
101242,
101248,67
66143,
139701,53
61273,67
159645,33
134963,58
18046,
11151,50
71901,
92116,
101962,75
39377,
11810,
123268,69
118922,62
37073,
10065,
167638,58
62699,
11093,
72362,
51689,
66437,
18487,
31267,
118370,61
92412,
163386,67
63879,
146548,67
92064,40
133447,74
128265,59
44997,
38551,
111527,77
66598,
54435,
31066,
125447,76
27255,36
52429,
31708,
169643,81
127396,67
90901,55
125401,63
99355,
154288,45
25578,
31893,
58434,
47359,
122596,78
98484,42
56058,
34449,
174301,51
64242,
85606,53
61450,52
61101,60
82283,
205623,39
46153,
197520,19
43370,
144355,76
47407,
168017,78
89606,
141259,63
56447,
91045,
11671,
13314,60
109642,33
83865,
94766,51
36506,
